ccaa_iso;fecha;Año;Mes;Trimestre;num_casos;Periodo;fecha_int;Estacion;Curso Lectivo
AN;11/8/2020;2020;8;T3;522;202003;11082020;Verano;0
AN;12/8/2020;2020;8;T3;593;202003;12082020;Verano;0
AN;13/8/2020;2020;8;T3;636;202003;13082020;Verano;0
AN;14/8/2020;2020;8;T3;730;202003;14082020;Verano;0
AN;15/8/2020;2020;8;T3;635;202003;15082020;Verano;0
AN;16/8/2020;2020;8;T3;583;202003;16082020;Verano;0
AN;17/8/2020;2020;8;T3;740;202003;17082020;Verano;0
AN;18/8/2020;2020;8;T3;813;202003;18082020;Verano;0
AN;19/8/2020;2020;8;T3;741;202003;19082020;Verano;0
AN;20/8/2020;2020;8;T3;843;202003;20082020;Verano;0
AN;21/8/2020;2020;8;T3;915;202003;21082020;Verano;0
AN;22/8/2020;2020;8;T3;836;202003;22082020;Verano;0
AN;23/8/2020;2020;8;T3;772;202003;23082020;Verano;0
AN;24/8/2020;2020;8;T3;882;202003;24082020;Verano;0
AN;25/8/2020;2020;8;T3;920;202003;25082020;Verano;0
AN;26/8/2020;2020;8;T3;1034;202003;26082020;Verano;0
AN;27/8/2020;2020;8;T3;1056;202003;27082020;Verano;0
AN;28/8/2020;2020;8;T3;1065;202003;28082020;Verano;0
AN;29/8/2020;2020;8;T3;904;202003;29082020;Verano;0
AN;30/8/2020;2020;8;T3;810;202003;30082020;Verano;0
AN;31/8/2020;2020;8;T3;992;202003;31082020;Verano;0
AN;1/9/2020;2020;9;T3;1191;202003;1092020;Verano;0
AN;2/9/2020;2020;9;T3;1059;202003;2092020;Verano;0
AN;3/9/2020;2020;9;T3;1056;202003;3092020;Verano;0
AN;4/9/2020;2020;9;T3;1305;202003;4092020;Verano;0
AN;5/9/2020;2020;9;T3;1035;202003;5092020;Verano;0
AN;6/9/2020;2020;9;T3;850;202003;6092020;Verano;0
AN;7/9/2020;2020;9;T3;886;202003;7092020;Verano;1
AN;8/9/2020;2020;9;T3;1112;202003;8092020;Verano;1
AN;9/9/2020;2020;9;T3;1261;202003;9092020;Verano;1
