Edad;Sexo;Comunidades y Ciudades Autónomas;Periodo
55 y más años;Hombres;Andalucía;202202
55 y más años;Hombres;Andalucía;202203
55 y más años;Hombres;Andalucía;202204
55 y más años;Hombres;Andalucía;202301
55 y más años;Hombres;Andalucía;202302
55 y más años;Hombres;Andalucía;202303
55 y más años;Hombres;Andalucía;202304
55 y más años;Mujeres;Andalucía;202201
55 y más años;Mujeres;Andalucía;202202
55 y más años;Mujeres;Andalucía;202203
55 y más años;Mujeres;Andalucía;202204
55 y más años;Mujeres;Andalucía;202301
55 y más años;Mujeres;Andalucía;202302
55 y más años;Mujeres;Andalucía;202303
55 y más años;Mujeres;Andalucía;202304
De 16 a 19 años;Hombres;Aragón;202201
De 16 a 19 años;Hombres;Aragón;202202
De 16 a 19 años;Hombres;Aragón;202203
De 16 a 19 años;Hombres;Aragón;202204
De 16 a 19 años;Hombres;Aragón;202301
De 16 a 19 años;Hombres;Aragón;202302
De 16 a 19 años;Hombres;Aragón;202303
De 16 a 19 años;Hombres;Aragón;202304
De 16 a 19 años;Mujeres;Aragón;202201
De 16 a 19 años;Mujeres;Aragón;202202
De 16 a 19 años;Mujeres;Aragón;202203
De 16 a 19 años;Mujeres;Aragón;202204
De 16 a 19 años;Mujeres;Aragón;202301
De 16 a 19 años;Mujeres;Aragón;202302
De 16 a 19 años;Mujeres;Aragón;202303
De 16 a 19 años;Mujeres;Aragón;202304
De 20 a 24 años;Hombres;Aragón;202201
De 20 a 24 años;Hombres;Aragón;202202
De 20 a 24 años;Hombres;Aragón;202203
De 20 a 24 años;Hombres;Aragón;202204
