A�o,Columna1,Mes,Trimestre,_id,ccaa_iso,fecha,num_casos,num_casos_prueba_ag,num_casos_prueba_desconocida,num_casos_prueba_elisa,num_casos_prueba_pcr,num_casos_prueba_test_ac
2020,2020T1,1,T1,61ed75380634bb5d3b3341ef,NC,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341f0,PV,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341f1,RI,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341f2,VC,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341f3,AN,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341f4,AR,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341f5,AS,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341f6,CB,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341f7,CE,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341f8,CL,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341f9,CM,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341fa,CN,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341fb,CT,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341fc,EX,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341fd,GA,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341fe,IB,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341ff,MC,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334200,MD,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334201,ML,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334202,NC,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334203,PV,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334204,RI,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334205,VC,08/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334206,AN,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334207,AR,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334208,AS,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334209,CB,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33420a,CE,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33420b,CL,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33420c,CM,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33420d,CN,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33420e,CT,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33420f,EX,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334210,GA,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334211,IB,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334212,MC,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334213,MD,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334214,ML,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334215,NC,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334216,PV,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334217,RI,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334218,VC,09/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334219,AN,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33421a,AR,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33421b,AS,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33421c,CB,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33421d,CE,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33421e,CL,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33421f,CM,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334220,CN,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334221,CT,10/01/2020,1,0,1,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334222,EX,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334223,GA,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334224,IB,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334225,MC,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334226,MD,10/01/2020,1,0,0,0,1,0
2020,2020T1,1,T1,61ed75380634bb5d3b334227,ML,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334228,NC,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334229,PV,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33422a,RI,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33422b,VC,10/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33422c,AN,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33422d,AR,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33422e,AS,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33422f,CB,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334230,CE,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334231,CL,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334232,CM,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334233,CN,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334234,CT,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334235,EX,11/01/2020,0,0,0,0,0,0
