,Año,Mes,Periodo,fecha_int,Curso Lectivo,altitud,tmed,tmin,tmax,presMax,presMin,ccaa_iso_AN,ccaa_iso_AR,ccaa_iso_AS,ccaa_iso_CB,ccaa_iso_CE,ccaa_iso_CL,ccaa_iso_CM,ccaa_iso_CN,ccaa_iso_CT,ccaa_iso_EX,ccaa_iso_GA,ccaa_iso_IB,ccaa_iso_MC,ccaa_iso_MD,ccaa_iso_ML,ccaa_iso_NC,ccaa_iso_PV,ccaa_iso_RI,ccaa_iso_VC,Estacion_Invierno,Estacion_Otoño,Estacion_Primavera,Estacion_Verano,Trimestre_T1,Trimestre_T2,Trimestre_T3,Trimestre_T4,num_casos
31,2020,4,202002,20042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,42
32,2020,4,202002,21042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,45
33,2020,4,202002,22042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,30
34,2020,4,202002,23042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,41
35,2020,4,202002,24042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,51
36,2020,4,202002,25042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,28
37,2020,4,202002,26042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,20
38,2020,4,202002,27042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,22
39,2020,4,202002,28042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,22
40,2020,4,202002,29042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,35
41,2020,4,202002,30042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,24
42,2020,5,202002,1052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,17
43,2020,5,202002,2052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,17
44,2020,5,202002,3052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13
45,2020,5,202002,4052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,23
46,2020,5,202002,5052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13
47,2020,5,202002,6052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
48,2020,5,202002,7052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
49,2020,5,202002,8052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8
50,2020,5,202002,9052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
51,2020,5,202002,10052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6
52,2020,5,202002,11052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,16
53,2020,5,202002,12052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,23
54,2020,5,202002,13052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13
55,2020,5,202002,14052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10
56,2020,5,202002,15052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13
57,2020,5,202002,16052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6
58,2020,5,202002,17052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9
59,2020,5,202002,18052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11
60,2020,5,202002,19052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11
61,2020,5,202002,20052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10
62,2020,5,202002,21052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7
63,2020,5,202002,22052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5
64,2020,5,202002,23052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6
65,2020,5,202002,24052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5
66,2020,5,202002,25052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10
67,2020,5,202002,26052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8
68,2020,5,202002,27052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11
69,2020,5,202002,28052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6
70,2020,5,202002,29052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,17
71,2020,5,202002,30052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14
72,2020,5,202002,31052020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11
73,2020,6,202002,1062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,15
74,2020,6,202002,2062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5
75,2020,6,202002,3062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12
76,2020,6,202002,4062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5
77,2020,6,202002,5062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9
78,2020,6,202002,6062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6
79,2020,6,202002,7062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
80,2020,6,202002,8062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6
81,2020,6,202002,9062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6
82,2020,6,202002,10062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6
83,2020,6,202002,11062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5
84,2020,6,202002,12062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5
85,2020,6,202002,13062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
86,2020,6,202002,14062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
87,2020,6,202002,15062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6
88,2020,6,202002,16062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12
89,2020,6,202002,17062020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10
