,Año,Mes,fecha_x,Periodo,fecha_int,Curso Lectivo,altitud,tmed,tmin,tmax,presMax,presMin,ccaa_iso,Estacion,Trimestre,num_casos
4975,2023,01,2023-01-10,202301,10012023,1,1148.125,0.36666666666666664,-3.2333333333333334,3.98,896.7846153846154,889.4461538461538,CL,Invierno,T1,0
4976,2023,01,2023-01-11,202301,11012023,1,1148.125,0.23333333333333334,-4.8,5.260000000000001,900.3923076923077,895.7846153846154,CL,Invierno,T1,0
4977,2023,01,2023-01-12,202301,12012023,1,1148.125,0.2866666666666667,-5.666666666666667,6.239999999999999,902.1538461538462,898.4000000000001,CL,Invierno,T1,0
4978,2023,01,2023-01-13,202301,13012023,1,1148.125,0.7400000000000001,-4.760000000000001,6.266666666666667,900.7692307692307,896.4076923076923,CL,Invierno,T1,0
4979,2023,01,2023-01-14,202301,14012023,1,1148.125,1.2466666666666666,-3.686666666666667,6.166666666666667,896.9153846153846,894.4307692307692,CL,Invierno,T1,0
4980,2023,01,2023-01-15,202301,15012023,1,1148.125,2.2133333333333334,-1.2266666666666668,5.666666666666667,899.1538461538462,894.3923076923077,CL,Invierno,T1,0
4981,2023,01,2023-01-16,202301,16012023,1,1148.125,3.3333333333333335,-0.6,7.266666666666667,899.4692307692308,896.4307692307692,CL,Invierno,T1,0
4982,2023,01,2023-01-17,202301,17012023,1,1148.125,2.433333333333333,-2.2133333333333334,7.053333333333333,902.4153846153846,897.7538461538461,CL,Invierno,T1,0
4983,2023,01,2023-01-18,202301,18012023,1,1148.125,3.2266666666666666,-1.48,7.953333333333333,900.6384615384615,893.4692307692308,CL,Invierno,T1,0
4273,2023,01,2023-01-19,202301,19012023,1,1148.125,1.0866666666666667,-3.453333333333333,5.6066666666666665,898.1692307692308,889.8692307692307,CL,Invierno,T1,0
4275,2023,01,2023-01-20,202301,20012023,1,1148.125,0.8066666666666668,-2.32,3.9266666666666667,893.2461538461539,887.0769230769231,CL,Invierno,T1,0
4277,2023,01,2023-01-21,202301,21012023,1,1148.125,3.253333333333333,1.1133333333333333,5.386666666666667,891.0692307692308,885.0461538461539,CL,Invierno,T1,0
4279,2023,01,2023-01-22,202301,22012023,1,1148.125,3.9266666666666667,0.8533333333333334,6.973333333333333,889.4769230769232,882.376923076923,CL,Invierno,T1,0
4281,2023,01,2023-01-23,202301,23012023,1,1148.125,4.226666666666667,0.58,7.866666666666666,889.0153846153846,883.2846153846154,CL,Invierno,T1,0
4283,2023,01,2023-01-24,202301,24012023,1,1148.125,4.08,1.7333333333333334,6.4399999999999995,889.7461538461539,885.2384615384616,CL,Invierno,T1,0
4285,2023,01,2023-01-25,202301,25012023,1,1148.125,4.739999999999999,1.88,7.593333333333334,891.0307692307692,884.7692307692307,CL,Invierno,T1,0
4287,2023,01,2023-01-26,202301,26012023,1,1148.125,4.8,1.1066666666666667,8.493333333333334,896.0615384615384,890.8,CL,Invierno,T1,0
4289,2023,01,2023-01-27,202301,27012023,1,1148.125,7.935714285714285,4.614285714285714,11.235714285714286,902.6083333333332,898.6666666666666,CL,Invierno,T1,0
4291,2023,01,2023-01-28,202301,28012023,1,1148.125,9.485714285714286,6.878571428571428,12.1,901.7166666666667,898.3416666666667,CL,Invierno,T1,0
4293,2023,01,2023-01-29,202301,29012023,1,1148.125,9.171428571428573,6.75,11.6,901.4499999999999,896.9666666666667,CL,Invierno,T1,0
4295,2023,01,2023-01-30,202301,30012023,1,1148.125,7.1571428571428575,5.071428571428571,9.221428571428572,898.2333333333332,894.9333333333334,CL,Invierno,T1,0
4297,2023,01,2023-01-31,202301,31012023,1,1148.125,9.271428571428572,5.721428571428571,12.835714285714285,898.2833333333333,895.2583333333333,CL,Invierno,T1,0
4299,2023,02,2023-02-01,202301,1022023,1,1148.125,9.33125,6.375,12.2875,889.2642857142857,883.0142857142857,CL,Invierno,T1,0
4301,2023,02,2023-02-02,202301,2022023,1,1148.125,10.0875,6.31875,13.81875,891.1428571428571,886.5,CL,Invierno,T1,0
4303,2023,02,2023-02-03,202301,3022023,1,1148.125,9.2375,4.81875,13.63125,889.0571428571428,886.4428571428572,CL,Invierno,T1,0
4305,2023,02,2023-02-04,202301,4022023,1,1148.125,6.94375,3.34375,10.525,888.2785714285714,885.3214285714286,CL,Invierno,T1,0
4307,2023,02,2023-02-05,202301,5022023,1,1148.125,6.75,1.9875,11.53125,886.6714285714286,879.7642857142857,CL,Invierno,T1,0
4309,2023,02,2023-02-06,202301,6022023,1,1148.125,5.2375,0.45625,10.0375,882.3285714285714,877.6928571428572,CL,Invierno,T1,0
4311,2023,02,2023-02-07,202301,7022023,1,1148.125,3.975,-0.60625,8.55625,882.4142857142857,878.8285714285714,CL,Invierno,T1,0
4313,2023,02,2023-02-08,202301,8022023,1,1148.125,4.86875,1.8875,7.85,882.7928571428572,877.7357142857143,CL,Invierno,T1,0
4315,2023,02,2023-02-09,202301,9022023,1,1148.125,4.66875,1.26875,8.08125,884.85,878.9642857142857,CL,Invierno,T1,0
4317,2023,02,2023-02-10,202301,10022023,1,1148.125,7.43125,3.80625,11.0625,890.7428571428571,881.5642857142857,CL,Invierno,T1,0
4319,2023,02,2023-02-11,202301,11022023,1,1148.125,8.6375,4.6375,12.63125,890.8214285714286,886.65,CL,Invierno,T1,0
4321,2023,02,2023-02-12,202301,12022023,1,1148.125,7.6125,3.725,11.5125,890.6357142857142,884.8714285714286,CL,Invierno,T1,0
4323,2023,02,2023-02-13,202301,13022023,1,1148.125,7.10625,2.8,11.4125,892.342857142857,888.2714285714285,CL,Invierno,T1,0
4325,2023,02,2023-02-14,202301,14022023,1,1148.125,6.96875,1.16875,12.7625,893.7071428571428,891.3285714285714,CL,Invierno,T1,0
4327,2023,02,2023-02-15,202301,15022023,1,1148.125,7.98125,1.84375,14.09375,894.5071428571429,891.1642857142857,CL,Invierno,T1,0
4329,2023,02,2023-02-16,202301,16022023,1,1148.125,8.75625,3.3875,14.14375,892.407142857143,889.8857142857142,CL,Invierno,T1,0
